GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1105058725,20230527,202305,2023,2023.4027,SOMCOP,SOMALIA,SOM,,,,,COP,,,UAF,MILITANT,,,,,,UAF,,,1,190,190,19,4,-10.0,8,1,8,-2.68595041322315,4,"Shabelle, Bay, Somalia",SO,SO04,25670,2.19037,42.8761,-3229145,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Shabelle, Bay, Somalia",SO,SO04,25670.0,2.19037,42.8761,-3229145,20230527003000,https://www.voazimbabwe.com/a/7111215.html
1105058727,20230527,202305,2023,2023.4027,SOMGOV,SOMALIA,SOM,,,,,GOV,,,RUS,RUSSIAN,RUS,,,,,,,,0,40,40,4,1,1.0,1,1,1,-2.68595041322315,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Somaliland, Somalia (general), Somalia",SO,SO00,25720,9.0,46.0,11432102,4,"Somaliland, Somalia (general), Somalia",SO,SO00,25720.0,9.0,46.0,11432102,20230527003000,https://www.voazimbabwe.com/a/7111215.html
1105058732,20230527,202305,2023,2023.4027,SOMGOV,SOMALIA,SOM,,,,,GOV,,,SOM,SOMALI,SOM,,,,,,,,0,13,13,1,1,0.4,2,1,2,-2.68595041322315,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Somaliland, Somalia (general), Somalia",SO,SO00,25720,9.0,46.0,11432102,4,"Somaliland, Somalia (general), Somalia",SO,SO00,25720.0,9.0,46.0,11432102,20230527003000,https://www.voazimbabwe.com/a/7111215.html
1105058761,20230527,202305,2023,2023.4027,UAF,MILITANT,,,,,,UAF,,,SOMCOP,SOMALIA,SOM,,,,,COP,,,1,190,190,19,4,-10.0,8,1,8,-2.68595041322315,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Shabelle, Bay, Somalia",SO,SO04,25670,2.19037,42.8761,-3229145,4,"Shabelle, Bay, Somalia",SO,SO04,25670.0,2.19037,42.8761,-3229145,20230527003000,https://www.voazimbabwe.com/a/7111215.html
1096942459,20230420,202304,2023,2023.3014,AFR,AFRICA,AFR,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,36,36,3,1,4.0,6,1,6,-3.82165605095541,1,South Africa,SF,SF,,-30.0,26.0,SF,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,1,South Africa,SF,SF,,-30.0,26.0,SF,20230420003000,https://jamestown.org/program/iccs-arrest-warrant-for-putin-divides-post-soviet-space/
1096942461,20230420,202304,2023,2023.3014,AFR,AFRICA,AFR,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,40,40,4,1,1.0,2,1,2,-3.82165605095541,1,South Africa,SF,SF,,-30.0,26.0,SF,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,1,South Africa,SF,SF,,-30.0,26.0,SF,20230420003000,https://jamestown.org/program/iccs-arrest-warrant-for-putin-divides-post-soviet-space/
1096943267,20230420,202304,2023,2023.3014,GOV,AUTHORITIES,,,,,,GOV,,,AFR,AFRICA,AFR,,,,,,,,0,36,36,3,1,4.0,2,1,2,-3.82165605095541,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,1,South Africa,SF,SF,,-30.0,26.0,SF,1,South Africa,SF,SF,,-30.0,26.0,SF,20230420003000,https://jamestown.org/program/iccs-arrest-warrant-for-putin-divides-post-soviet-space/
1096943917,20230420,202304,2023,2023.3014,RUS,RUSSIA,RUS,,,,,,,,AFR,AFRICA,AFR,,,,,,,,0,36,36,3,1,4.0,6,1,6,-3.82165605095541,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,1,South Africa,SF,SF,,-30.0,26.0,SF,1,South Africa,SF,SF,,-30.0,26.0,SF,20230420003000,https://jamestown.org/program/iccs-arrest-warrant-for-putin-divides-post-soviet-space/
1096943931,20230420,202304,2023,2023.3014,RUS,RUSSIA,RUS,,,,,,,,BRA,BRAZIL,BRA,,,,,,,,0,40,40,4,1,1.0,4,1,4,-3.82165605095541,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,1,Brazil,BR,BR,,-10.0,-55.0,BR,1,South Africa,SF,SF,,-30.0,26.0,SF,20230420003000,https://jamestown.org/program/iccs-arrest-warrant-for-putin-divides-post-soviet-space/
1101775000,20230512,202305,2023,2023.3616,AFR,AFRICA,AFR,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,0,10,10,1,1,0.0,8,1,8,-3.3596837944664,4,"Pretoria, Gauteng, South Africa",SF,SF06,77346,-25.7069,28.2294,-1273769,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Pretoria, Gauteng, South Africa",SF,SF06,77346.0,-25.7069,28.2294,-1273769,20230512003000,https://www.theglobeandmail.com/world/article-us-alleges-south-africa-gave-weapons-and-ammunition-to-russia/
